,countriesAndTerritories,cases,deaths
1,Afghanistan,38070,1397
2,Albania,8605,254
3,Algeria,41858,1446
4,Andorra,1060,53
5,Angola,2222,100
6,Anguilla,3,0
7,Antigua_and_Barbuda,94,3
8,Argentina,350854,7366
9,Armenia,42825,854
10,Aruba,1628,7
11,Australia,24916,517
12,Austria,25547,733
13,Azerbaijan,35426,519
14,Bahamas,1798,46
15,Bahrain,49330,184
16,Bangladesh,297083,3983
17,Barbados,161,7
18,Belarus,70645,646
19,Belgium,81998,9996
20,Belize,713,10
21,Benin,2115,39
22,Bermuda,168,9
23,Bhutan,156,0
24,Bolivia,110148,4578
25,"Bonaire, Saint Eustatius and Saba",13,0
26,Bosnia_and_Herzegovina,18027,540
27,Botswana,1562,3
28,Brazil,3622861,115309
29,British_Virgin_Islands,26,1
30,Brunei_Darussalam,143,3
31,Bulgaria,15287,545
32,Burkina_Faso,1338,55
33,Burundi,430,1
34,Cambodia,273,0
35,Cameroon,18762,408
36,Canada,125647,9083
37,Cape_Verde,3532,37
38,Cases_on_an_international_conveyance_Japan,696,7
39,Cayman_Islands,205,1
40,Central_African_Republic,4679,61
41,Chad,987,76
42,Chile,399568,10916
43,China,89718,4711
44,Colombia,551696,17612
45,Comoros,417,7
46,Congo,3850,77
47,Costa_Rica,34463,362
48,Cote_dIvoire,17506,114
49,Croatia,8311,173
50,Cuba,3717,91
51,Cura�ao,47,1
52,Cyprus,1460,21
53,Czechia,22181,415
54,Democratic_Republic_of_the_Congo,9841,250
55,Denmark,16397,623
56,Djibouti,5383,60
57,Dominica,20,0
58,Dominican_Republic,91608,1573
59,Ecuador,108289,6322
60,Egypt,97478,5280
61,El_Salvador,24811,678
62,Equatorial_Guinea,4926,83
63,Eritrea,306,0
64,Estonia,2275,64
65,Eswatini,4304,85
66,Ethiopia,42143,692
67,Falkland_Islands_(Malvinas),13,0
68,Faroe_Islands,410,0
69,Fiji,28,1
70,Finland,7938,335
71,France,244854,30528
72,French_Polynesia,310,0
73,Gabon,8409,53
74,Gambia,2585,87
75,Georgia,1421,18
76,Germany,234853,9277
77,Ghana,43622,263
78,Gibraltar,248,0
79,Greece,8819,242
80,Greenland,14,0
81,Grenada,24,0
82,Guam,907,7
83,Guatemala,68533,2611
84,Guernsey,252,13
85,Guinea,9013,54
86,Guinea_Bissau,2149,33
87,Guyana,955,31
88,Haiti,8110,196
89,Holy_See,12,0
90,Honduras,55479,1683
91,Hungary,5191,613
92,Iceland,2073,10
93,India,3167323,58390
94,Indonesia,155412,6759
95,Iran,358905,20643
96,Iraq,207985,6519
97,Ireland,28116,1777
98,Isle_of_Man,336,24
99,Israel,105063,847
100,Italy,260298,35441
101,Jamaica,1612,16
102,Japan,63121,1196
103,Jersey,364,32
104,Jordan,1639,14
105,Kazakhstan,127462,1781
106,Kenya,32557,554
107,Kosovo,12448,467
108,Kuwait,80960,518
109,Kyrgyzstan,43245,1501
110,Laos,22,0
111,Latvia,1337,33
112,Lebanon,13155,126
113,Lesotho,1015,30
114,Liberia,1290,82
115,Libya,11009,199
116,Liechtenstein,101,1
117,Lithuania,2673,85
118,Luxembourg,7794,124
119,Madagascar,14402,178
